0xfff3, 0x00
0x04b5, 0x01
0x04b6, 0x0f
0x04b7, 0xff
0x04b8, 0x0f
0x04b9, 0xff
0x04ba, 0x0f
0x04bb, 0xff
0x04bc, 0x0f
0x04bd, 0xff
0x04be, 0x0f
0x04bf, 0xff
0x04c0, 0x0f
0x04c1, 0xff
0x04c2, 0x0f
0x04c3, 0xff
0x04c4, 0x0f
0x04c5, 0xff
0x04c6, 0x0f
0x04c7, 0xff
0x04c8, 0x0f
0x04c9, 0xff
0x04ca, 0x0f
0x04cb, 0xff
0x04cc, 0x0f
0x04cd, 0xff
0x04ce, 0x0f
0x04cf, 0xff
0x04d0, 0x0f
0x04d1, 0xff
0x04d2, 0x0f
0x04d3, 0xff
0x04d4, 0x0f
0x04d5, 0xff
0x04d6, 0x0f
0x04d7, 0xff
0x04d8, 0x0f
0x04d9, 0xff
0x04da, 0x0f
0x04db, 0xff
0x04dc, 0x0f
0x04dd, 0xff
0x04de, 0x0f
0x04df, 0xff
0x04e0, 0x0f
0x04e1, 0xff
0x04e2, 0x0f
0x04e3, 0xff
0x04e4, 0x0f
0x04e5, 0xff
0x04e6, 0x0f
0x04e7, 0xff
0x04e8, 0x0f
0x04e9, 0xff
0x04ea, 0x0f
0x04eb, 0xff
0x04ec, 0x0f
0x04ed, 0xff
0x04ee, 0x0f
0x04ef, 0xff
0x04f0, 0x0f
0x04f1, 0xff
0x04f2, 0x0f
0x04f3, 0xff
0x04f4, 0x0f
0x04f5, 0xff
0x04f6, 0x0f
0x04f7, 0xff
0x04f8, 0x0f
0x04f9, 0xff
0x04fa, 0x0f
0x04fb, 0xff
0x04fc, 0x0f
0x04fd, 0xff
0x04fe, 0x0f
0x04ff, 0xff
0x0500, 0x0f
0x0501, 0xff
0x0502, 0x0f
0x0503, 0xff
0x0504, 0x0f
0x0505, 0xff
0x0506, 0x0f
0x0507, 0xff
0x0508, 0x0f
0x0509, 0xff
0x050a, 0x0f
0x050b, 0xff
0x050c, 0x0f
0x050d, 0xff
0x050e, 0x0f
0x050f, 0xff
0x0510, 0x0f
0x0511, 0xff
0x0512, 0x0f
0x0513, 0xff
0x0514, 0x0f
0x0515, 0xff
0x0516, 0x0f
0x0517, 0xff
0x0518, 0x0f
0x0519, 0xff
0x051a, 0x0f
0x051b, 0xff
0x051c, 0x0f
0x051d, 0xff
0x051e, 0x0f
0x051f, 0xff
0x0520, 0x0f
0x0521, 0xff
0x0522, 0x0f
0x0523, 0xff
0x0524, 0x0f
0x0525, 0xff
0x0526, 0x0f
0x0527, 0xff
0x0528, 0x0f
0x0529, 0xff
0x052a, 0x0f
0x052b, 0xff
0x052c, 0x0f
0x052d, 0xff
0x052e, 0x0f
0x052f, 0xff
0x0530, 0x0f
0x0531, 0xff
0x0532, 0x0f
0x0533, 0xff
0x0534, 0x0f
0x0535, 0xff
0x0536, 0x0f
0x0537, 0xff
0x0538, 0x0f
0x0539, 0xff
0x053a, 0x0f
0x053b, 0xff
0x053c, 0x0f
0x053d, 0xff
0x053e, 0x0f
0x053f, 0xff
0x0540, 0x0f
0x0541, 0xff
0x0542, 0x0f
0x0543, 0xff
0x0544, 0x0f
0x0545, 0xff
0x0546, 0x0f
0x0547, 0xff
0x0548, 0x0f
0x0549, 0xff
0x054a, 0x0f
0x054b, 0xff
0x054c, 0x0f
0x054d, 0xff
0x054e, 0x0f
0x054f, 0xff
0x0550, 0x0f
0x0551, 0xff
0x0552, 0x0f
0x0553, 0xff
0x0554, 0x0f
0x0555, 0xff
0x0556, 0x0f
0x0557, 0xff
0x0558, 0x0f
0x0559, 0xff
0x055a, 0x0f
0x055b, 0xff
0x055c, 0x0f
0x055d, 0xff
0x055e, 0x0f
0x055f, 0xff
0x0560, 0x0f
0x0561, 0xff
0x0562, 0x0f
0x0563, 0xff
0x0564, 0x0f
0x0565, 0xff
0x0566, 0x0f
0x0567, 0xff
0x0568, 0x0f
0x0569, 0xff
0x056a, 0x0f
0x056b, 0xff
0x056c, 0x0f
0x056d, 0xff
0x056e, 0x0f
0x056f, 0xff
0x0570, 0x0f
0x0571, 0xff
0x0572, 0x0f
0x0573, 0xff
0x0574, 0x0f
0x0575, 0xff
0x0576, 0x0f
0x0577, 0xff
0x0578, 0x0f
0x0579, 0xff
0x057a, 0x0f
0x057b, 0xff
0x057c, 0x0f
0x057d, 0xff
0x057e, 0x0f
0x057f, 0xff
0x0580, 0x0f
0x0581, 0xff
0x0582, 0x0f
0x0583, 0xff
0x0584, 0x0f
0x0585, 0xff
0x0586, 0x0f
0x0587, 0xff
0x0588, 0x0f
0x0589, 0xff
0x058a, 0x0f
0x058b, 0xff
0x058c, 0x0f
0x058d, 0xff
0x058e, 0x0f
0x058f, 0xff
0x0590, 0x0f
0x0591, 0xff
0x0592, 0x0f
0x0593, 0xff
0x0594, 0x0f
0x0595, 0xff
0x0596, 0x0f
0x0597, 0xff
0x0598, 0x0f
0x0599, 0xff
0x059a, 0x0f
0x059b, 0xff
0x059c, 0x0f
0x059d, 0xff
0x059e, 0x0f
0x059f, 0xff
0x05a0, 0x0f
0x05a1, 0xff
0x05a2, 0x0f
0x05a3, 0xff
0x05a4, 0x0f
0x05a5, 0xff
0x05a6, 0x0f
0x05a7, 0xff
0x05a8, 0x0f
0x05a9, 0xff
0x05aa, 0x0f
0x05ab, 0xff
0x05ac, 0x0f
0x05ad, 0xff
0x05ae, 0x0f
0x05af, 0xff
0x05b0, 0x0f
0x05b1, 0xff
0x05b2, 0x0f
0x05b3, 0xff
0x05b4, 0x0f
0x05b5, 0xff
0x05b6, 0x0f
0x05b7, 0xff
0x05b8, 0x0f
0x05b9, 0xff
0x05ba, 0x0f
0x05bb, 0xff
0x05bc, 0x0f
0x05bd, 0xff
0x05be, 0x0f
0x05bf, 0xff
0x05c0, 0x0f
0x05c1, 0xff
0x05c2, 0x0f
0x05c3, 0xff
0x05c4, 0x0f
0x05c5, 0xff
0x05c6, 0x0f
0x05c7, 0xff
0x05c8, 0x0f
0x05c9, 0xff
0x05ca, 0x0f
0x05cb, 0xff
0x05cc, 0x0f
0x05cd, 0xff
0x05ce, 0x0f
0x05cf, 0xff
0x05d0, 0x0f
0x05d1, 0xff
0x05d2, 0x0f
0x05d3, 0xff
0x05d4, 0x0f
0x05d5, 0xff
0x05d6, 0x00
0x05d7, 0x00
0x05d8, 0x00
0x05d9, 0x00
0x05da, 0x00
0x05db, 0x00
0x05dc, 0x00
0x05dd, 0x00
0x05de, 0x00
0x05df, 0x00
0x05e0, 0x00
0x05e1, 0x00
0x05e2, 0x00
0x05e3, 0x00
0x05e4, 0x00
0x05e5, 0x00
0x05e6, 0x00
0x05e7, 0x00
0x05e8, 0x00
0x05e9, 0x00
0x05ea, 0x00
0x05eb, 0x00
0x05ec, 0x00
0x05ed, 0x00
0x05ee, 0x00
0x05ef, 0x00
0x05f0, 0x00
0x05f1, 0x00
0x05f2, 0x00
0x05f3, 0x00
0x05f4, 0x00
0x05f5, 0x00
0x05f6, 0x00
0x05f7, 0x00
0x05f8, 0x00
0x05f9, 0x00
0x05fa, 0x00
0x05fb, 0x00
0x05fc, 0x00
0x05fd, 0x00
0x05fe, 0x00
0x05ff, 0x00
0x0600, 0x00
0x0601, 0x00
0x0602, 0x00
0x0603, 0x00
0x0604, 0x00
0x0605, 0x00
0x0606, 0x00
0x0607, 0x00
0x0608, 0x00
0x0609, 0x00
0x060a, 0x00
0x060b, 0x00
0x060c, 0x00
0x060d, 0x00
0x060e, 0x00
0x060f, 0x00
0x0610, 0x00
0x0611, 0x00
0x0612, 0x00
0x0613, 0x00
0x0614, 0x00
0x0615, 0x00
0x0616, 0x00
0x0617, 0x00
0x0618, 0x00
0x0619, 0x00
0x061a, 0x00
0x061b, 0x00
0x061c, 0x00
0x061d, 0x00
0x061e, 0x00
0x061f, 0x00
0x0620, 0x00
0x0621, 0x00
0x0622, 0x00
0x0623, 0x00
0x0624, 0x00
0x0625, 0x00
0x0626, 0x00
0x0627, 0x00
0x0628, 0x00
0x0629, 0x00
0x062a, 0x00
0x062b, 0x00
0x062c, 0x00
0x062d, 0x00
0x062e, 0x00
0x062f, 0x00
0x0630, 0x00
0x0631, 0x00
0x0632, 0x00
0x0633, 0x00
0x0634, 0x00
0x0635, 0x00
0x0636, 0x00
0x0637, 0x00
0x0638, 0x00
0x0639, 0x00
0x063a, 0x00
0x063b, 0x00
0x063c, 0x00
0x063d, 0x00
0x063e, 0x00
0x063f, 0x00
0x0640, 0x00
0x0641, 0x00
0x0642, 0x00
0x0643, 0x00
0x0644, 0x00
0x0645, 0x00
0x0646, 0x00
0x0647, 0x00
0x0648, 0x00
0x0649, 0x00
0x064a, 0x00
0x064b, 0x00
0x064c, 0x00
0x064d, 0x00
0x064e, 0x00
0x064f, 0x00
0x0650, 0x00
0x0651, 0x00
0x0652, 0x00
0x0653, 0x00
0x0654, 0x00
0x0655, 0x00
0x0656, 0x00
0x0657, 0x00
0x0658, 0x00
0x0659, 0x00
0x065a, 0x00
0x065b, 0x00
0x065c, 0x00
0x065d, 0x00
0x065e, 0x00
0x065f, 0x00
0x0660, 0x00
0x0661, 0x00
0x0662, 0x00
0x0663, 0x00
0x0664, 0x00
0x0665, 0x00
0x0666, 0x00
0x0667, 0x00
0x0668, 0x00
0x0669, 0x00
0x066a, 0x00
0x066b, 0x00
0x066c, 0x00
0x066d, 0x00
0x066e, 0x00
0x066f, 0x00
0x0670, 0x00
0x0671, 0x00
0x0672, 0x00
0x0673, 0x00
0x0674, 0x00
0x0675, 0x00
0x0676, 0x00
0x0677, 0x00
0x0678, 0x00
0x0679, 0x00
0x067a, 0x00
0x067b, 0x00
0x067c, 0x00
0x067d, 0x00
0x067e, 0x00
0x067f, 0x00
0x0680, 0x00
0x0681, 0x00
0x0682, 0x00
0x0683, 0x00
0x0684, 0x00
0x0685, 0x00
0x0686, 0x00
0x0687, 0x00
0x0688, 0x00
0x0689, 0x00
0x068a, 0x00
0x068b, 0x00
0x068c, 0x00
0x068d, 0x00
0x068e, 0x00
0x068f, 0x00
0x0690, 0x00
0x0691, 0x00
0x0692, 0x00
0x0693, 0x00
0x0694, 0x00
0x0695, 0x00
0x0696, 0x00
0x0697, 0x00
0x0698, 0x00
0x0699, 0x00
0x069a, 0x00
0x069b, 0x00
0x069c, 0x00
0x069d, 0x00
0x069e, 0x00
0x069f, 0x00
0x06a0, 0x00
0x06a1, 0x00
0x06a2, 0x00
0x06a3, 0x00
0x06a4, 0x00
0x06a5, 0x00
0x06a6, 0x00
0x06a7, 0x00
0x06a8, 0x00
0x06a9, 0x00
0x06aa, 0x00
0x06ab, 0x00
0x06ac, 0x00
0x06ad, 0x00
0x06ae, 0x00
0x06af, 0x00
0x06b0, 0x00
0x06b1, 0x00
0x06b2, 0x00
0x06b3, 0x00
0x06b4, 0x00
0x06b5, 0x00
0x06b6, 0x00
0x06b7, 0x00
0x06b8, 0x00
0x06b9, 0x00
0x06ba, 0x00
0x06bb, 0x00
0x06bc, 0x00
0x06bd, 0x00
0x06be, 0x00
0x06bf, 0x00
0x06c0, 0x00
0x06c1, 0x00
0x06c2, 0x00
0x06c3, 0x00
0x06c4, 0x00
0x06c5, 0x00
0x06c6, 0x00
0x06c7, 0x00
0x06c8, 0x00
0x06c9, 0x00
0x06ca, 0x00
0x06cb, 0x00
0x06cc, 0x00
0x06cd, 0x00
0x06ce, 0x00
0x06cf, 0x00
0x06d0, 0x00
0x06d1, 0x00
0x06d2, 0x00
0x06d3, 0x00
0x06d4, 0x00
0x06d5, 0x00
0x06d6, 0x00
0x06d7, 0x00
0x06d8, 0x00
0x06d9, 0x00
0x06da, 0x00
0x06db, 0x00
0x06dc, 0x00
0x06dd, 0x00
0x06de, 0x00
0x06df, 0x00
0x06e0, 0x00
0x06e1, 0x00
0x06e2, 0x00
0x06e3, 0x00
0x06e4, 0x00
0x06e5, 0x00
0x06e6, 0x00
0x06e7, 0x00
0x06e8, 0x00
0x06e9, 0x00
0x06ea, 0x00
0x06eb, 0x00
0x06ec, 0x00
0x06ed, 0x00
0x06ee, 0x00
0x06ef, 0x00
0x06f0, 0x00
0x06f1, 0x00
0x06f2, 0x00
0x06f3, 0x00
0x06f4, 0x00
0x06f5, 0x00
0x06f6, 0x00
0x06f7, 0x00
0x06f8, 0x00
0x06f9, 0x00
0x06fa, 0x00
0x06fb, 0x00
0x06fc, 0x00
0x06fd, 0x00
0x06fe, 0x00
0x06ff, 0x00
0x0700, 0x00
0x0701, 0x00
0x0702, 0x00
0x0703, 0x00
0x0704, 0x00
0x0705, 0x00
0x0706, 0x00
0x0707, 0x00
0x0708, 0x00
0x0709, 0x00
0x070a, 0x00
0x070b, 0x00
0x070c, 0x00
0x070d, 0x00
0x070e, 0x00
0x070f, 0x00
0x0710, 0x00
0x0711, 0x00
0x0712, 0x00
0x0713, 0x00
0x0714, 0x00
0x0715, 0x00
0x0716, 0x00
0x0717, 0x00
0x0718, 0x00
0x0719, 0x00
0x071a, 0x00
0x071b, 0x00
0x071c, 0x00
0x071d, 0x00
0x071e, 0x00
0x071f, 0x00
0x0720, 0x00
0x0721, 0x00
0x0722, 0x00
0x0723, 0x00
0x0724, 0x00
0x0725, 0x00
0x0726, 0x00
0x0727, 0x00
0x0728, 0x00
0x0729, 0x00
0x072a, 0x00
0x072b, 0x00
0x072c, 0x00
0x072d, 0x00
0x072e, 0x00
0x072f, 0x00
0x0730, 0x00
0x0731, 0x00
0x0732, 0x00
0x0733, 0x00
0x0734, 0x00
0x0735, 0x00
0x0736, 0x00
0x0737, 0x00
0x0738, 0x00
0x0739, 0x00
0x073a, 0x00
0x073b, 0x00
0x073c, 0x00
0x073d, 0x00
0x073e, 0x00
0x073f, 0x00
0x0740, 0x00
0x0741, 0x00
0x0742, 0x00
0x0743, 0x00
0x0744, 0x00
0x0745, 0x00
0x0746, 0x00
0x0747, 0x00
0x0748, 0x00
0x0749, 0x00
0x074a, 0x00
0x074b, 0x00
0x074c, 0x00
0x074d, 0x00
0x074e, 0x00
0x074f, 0x00
0x0750, 0x00
0x0751, 0x00
0x0752, 0x00
0x0753, 0x00
0x0754, 0x00
0x0755, 0x00
0x0756, 0x00
0x0757, 0x00
0x0758, 0x00
0x0759, 0x00
0x075a, 0x00
0x075b, 0x00
0x075c, 0x00
0x075d, 0x00
0x075e, 0x00
0x075f, 0x00
0x0760, 0x00
0x0761, 0x00
0x0762, 0x00
0x0763, 0x00
0x0764, 0x00
0x0765, 0x00
0x0766, 0x00
0x0767, 0x00
0x0768, 0x00
0x0769, 0x00
0x076a, 0x00
0x076b, 0x00
0x076c, 0x00
0x076d, 0x00
0x076e, 0x00
0x076f, 0x00
0x0770, 0x00
0x0771, 0x00
0x0772, 0x00
0x0773, 0x00
0x0774, 0x00
0x0775, 0x00
0x0776, 0x00
0x0777, 0x00
0x0778, 0x00
0x0779, 0x00
0x077a, 0x00
0x077b, 0x00
0x077c, 0x00
0x077d, 0x00
0x077e, 0x00
0x077f, 0x00
0x0780, 0x00
0x0781, 0x00
0x0782, 0x00
0x0783, 0x00
0x0784, 0x00
0x0785, 0x00
0x0786, 0x00
0x0787, 0x00
0x0788, 0x00
0x0789, 0x00
0x078a, 0x00
0x078b, 0x00
0x078c, 0x00
0x078d, 0x00
0x078e, 0x00
0x078f, 0x00
0x0790, 0x00
0x0791, 0x00
0x0792, 0x00
0x0793, 0x00
0x0794, 0x00
0x0795, 0x00
0x0796, 0x00
0x0797, 0x00
0x0798, 0x00
0x0799, 0x00
0x079a, 0x00
0x079b, 0x00
0x079c, 0x00
0x079d, 0x00
0x079e, 0x00
0x079f, 0x00
0x07a0, 0x00
0x07a1, 0x00
0x07a2, 0x00
0x07a3, 0x00
0x07a4, 0x00
0x07a5, 0x00
0x07a6, 0x00
0x07a7, 0x00
0x07a8, 0x00
0x07a9, 0x00
0x07aa, 0x00
0x07ab, 0x00
0x07ac, 0x00
0x07ad, 0x00
0x07ae, 0x00
0x07af, 0x00
0x07b0, 0x00
0x07b1, 0x00
0x07b2, 0x00
0x07b3, 0x00
0x07b4, 0x00
0x07b5, 0x00
0x07b6, 0x00
0x07b7, 0x00
0x07b8, 0x00
0x07b9, 0x00
0x07ba, 0x00
0x07bb, 0x00
0x07bc, 0x00
0x07bd, 0x00
0x07be, 0x00
0x07bf, 0x00
0x07c0, 0x00
0x07c1, 0x00
0x07c2, 0x00
0x07c3, 0x00
0x07c4, 0x00
0x07c5, 0x00
0x07c6, 0x00
0x07c7, 0x00
0x07c8, 0x00
0x07c9, 0x00
0x07ca, 0x00
0x07cb, 0x00
0x07cc, 0x00
0x07cd, 0x00
0x07ce, 0x00
0x07cf, 0x00
0x07d0, 0x00
0x07d1, 0x00
0x07d2, 0x00
0x07d3, 0x00
0x07d4, 0x00
0x07d5, 0x00
0x07d6, 0x00
0x07d7, 0x00
0x07d8, 0x00
0x07d9, 0x00
0x07da, 0x00
0x07db, 0x00
0x07dc, 0x00
0x07dd, 0x00
0x07de, 0x00
0x07df, 0x00
0x07e0, 0x00
0x07e1, 0x00
0x07e2, 0x00
0x07e3, 0x00
0x07e4, 0x00
0x07e5, 0x00
0x07e6, 0x00
0x07e7, 0x00
0x07e8, 0x00
0x07e9, 0x00
0x07ea, 0x00
0x07eb, 0x00
0x07ec, 0x00
0x07ed, 0x00
0x07ee, 0x00
0x07ef, 0x00
0x07f0, 0x00
0x07f1, 0x00
0x07f2, 0x00
0x07f3, 0x00
0x07f4, 0x00
0x07f5, 0x00
0x07f6, 0x00
0x07f7, 0x00
0x07f8, 0x00
0x07f9, 0x00
0x07fa, 0x00
0x07fb, 0x00
0x07fc, 0x00
0x07fd, 0x00
0x07fe, 0x00
0x07ff, 0x00
0x0800, 0x00
0x0801, 0x00
0x0802, 0x00
0x0803, 0x00
0x0804, 0x00
0x0805, 0x00
0x0806, 0x00
0x0807, 0x00
0x0808, 0x00
0x0809, 0x00
0x080a, 0x00
0x080b, 0x00
0x080c, 0x00
0x080d, 0x00
0x080e, 0x00
0x080f, 0x00
0x0810, 0x00
0x0811, 0x00
0x0812, 0x00
0x0813, 0x00
0x0814, 0x00
0x0815, 0x00
0x0816, 0x00
0x0817, 0x00
0x0818, 0x00
0x0819, 0x00
0x081a, 0x00
0x081b, 0x00
0x081c, 0x00
0x081d, 0x00
0x081e, 0x00
0x081f, 0x00
0x0820, 0x00
0x0821, 0x00
0x0822, 0x00
0x0823, 0x00
0x0824, 0x00
0x0825, 0x00
0x0826, 0x00
0x0827, 0x00
0x0828, 0x00
0x0829, 0x00
0x082a, 0x00
0x082b, 0x00
0x082c, 0x00
0x082d, 0x00
0x082e, 0x00
